,Guessed_Champion,Actual_Champion,Comparison
0,Aatrox,Lissandra,RRRRRRG
0,Aatrox,Lucian,GRRRRRG
0,Aatrox,Lulu,RRRRRRR
0,Aatrox,Lux,RRRRRRR
0,Aatrox,Malphite,GGRRGOR
0,Aatrox,Malzahar,GRRRROR
0,Aatrox,Maokai,GRRRGRR
0,Aatrox,Master Yi,GRRRGRR
0,Aatrox,Millio,GRRRRRR
0,Aatrox,Miss Fortune,RRRRRRR
0,Aatrox,Mordekaiser,GGRRGRR
0,Aatrox,Morgana,RRRRRRR
0,Aatrox,Naafiri,RRORGOR
0,Aatrox,Nami,RRRRROR
0,Aatrox,Nasus,GGRRGOR
0,Aatrox,Nautilus,GRRRGRR
0,Aatrox,Neeko,RRRRRRR
0,Aatrox,Nidalee,RRRRRRR
0,Aatrox,Nilah,RRRRGRR
0,Aatrox,Nocturne,GRRRGOR
0,Aatrox,Nunu & Willump,GRRRGRR
0,Aatrox,Olaf,GORRGRR
0,Aatrox,Orianna,RRRRRRR
0,Aatrox,Ornn,GGRRGRR
0,Aatrox,Pantheon,GORRGRR
0,Aatrox,Poppy,RORRGRR
0,Aatrox,Pyke,GRRRGRR
0,Aatrox,Qiyana,RRRRGRR
0,Aatrox,Quinn,RGRRRRG
0,Aatrox,Rakan,GRRRGRR
0,Aatrox,Rammus,GRRRGOR
0,Aatrox,Rek'Sai,RRRRGOR
0,Aatrox,Rell,RRRRGRR
0,Aatrox,Renata Glasc,RRRRRRR
0,Aatrox,Renekton,GGRRGOR
0,Aatrox,Rengar,GORRGOR
0,Aatrox,Riven,RGRGGRR
0,Aatrox,Rumble,GORRGRR
0,Aatrox,Ryze,GORRROR
0,Aatrox,Samira,RRRRROR
0,Aatrox,Searphine,RRRRRRR
0,Aatrox,Sejuani,RRRRGRR
0,Aatrox,Senna,RRRRRRR
0,Aatrox,Sett,GGRRGRR
0,Aatrox,Shaco,GRRRGOR
0,Aatrox,Shen,GGRRGRR
0,Aatrox,Shyvana,RRRRGRR
0,Aatrox,Singed,GGRRGRR
0,Aatrox,Sion,GGRRGRR
0,Aatrox,Sivir,RRRRROR
0,Aatrox,Skarner,GRRRGOR
0,Aatrox,Sona,RRRRRRR
0,Aatrox,Soraka,RRRRRRR
0,Aatrox,Swain,GRRRRRR
0,Aatrox,Sylas,GGRRGRR
0,Aatrox,Syndra,RRRRRRR
0,Aatrox,Tahm Kench,GORRGOR
0,Aatrox,Taliyah,RRRRROR
0,Aatrox,Talon,GRRRGRR
0,Aatrox,Taric,GRRRGRR
0,Aatrox,Teemo,GGRRRRR
0,Aatrox,Thresh,GRRRRRG
0,Aatrox,Tristana,RRRRRRR
0,Aatrox,Trundle,GORRGRR
0,Aatrox,Tryndamere,GGRRGRR
0,Aatrox,Twisted Fate,GRRRRRR
0,Aatrox,Twitch,GRRRRRR
0,Aatrox,Udyr,GORRGRR
0,Aatrox,Urgot,GGRRRRR
0,Aatrox,Varus,GRORROR
0,Aatrox,Vayne,RORRRRR
0,Aatrox,Veigar,GRRRROR
0,Aatrox,Vel'Koz,GRRRRRR
0,Aatrox,Vex,RRRRRRR
0,Aatrox,Vi,RRRRGRR
0,Aatrox,Viego,GRRGGRR
0,Aatrox,Viktor,GRRRRRR
0,Aatrox,Vladimir,GRRRRRR
0,Aatrox,Volibear,GORRGRR
0,Aatrox,Warwick,GORRGRR
0,Aatrox,Wukong,GORRGRR
0,Aatrox,Xayah,RRRRRRR
0,Aatrox,Xerath,GRRRROR
0,Aatrox,Xin Zhao,GRRRGRR
0,Aatrox,Yasuo,GRRRGRG
0,Aatrox,Yone,GORGGRR
0,Aatrox,Yorick,GGRRGRR
0,Aatrox,Yuumi,RRRRRRR
0,Aatrox,Zac,GRRRGRG
0,Aatrox,Zed,GRRRGRR
0,Aatrox,Zeri,RRRRRRR
0,Aatrox,Ziggs,GRRRRRR
0,Aatrox,Zilean,GRRRROR
0,Aatrox,Zoe,RRRRRRR
0,Aatrox,Zyra,RRRRRRR
0,Ahri,Aatrox,RRRRROR
0,Ahri,Ahri,GGGGGGG
0,Ahri,Akali,GORRRRR
0,Ahri,Akshan,RORGGGR
0,Ahri,Alistar,RRRGRRR
0,Ahri,Amumu,RRRGRGR
0,Ahri,Anivia,GGRGGRR
0,Ahri,Annie,GORGGRR
0,Ahri,Aphelios,RRRGGRR
0,Ahri,Ashe,GRRGGRR
0,Ahri,Aurelion Sol,RGRGGRR
0,Ahri,Azir,RGRGGGR
0,Ahri,Bard,RRRGGRR
0,Ahri,Bel'Veth,GRRRRRR
0,Ahri,Blitzcrank,RRRGRRR
0,Ahri,Brand,RRRGGRG
0,Ahri,Braum,RRRGRRR
0,Ahri,Briar,GRRRRRR
0,Ahri,Caitlyn,GRRGGRG
0,Ahri,Camille,GRRGRRR
0,Ahri,Cassiopeia,GGRGGOR
0,Ahri,Cho'Gath,RRRGRRR
0,Ahri,Corki,RGRGGRR
0,Ahri,Darius,RRRGRRR
0,Ahri,Diana,GORGRRR
0,Ahri,Dr. Mundo,RRRRRRR
0,Ahri,Draven,RRRGGRR
0,Ahri,Ekko,RORGRRR
0,Ahri,Elise,GRRGORR
0,Ahri,Evelynn,GRRGRRR
0,Ahri,Ezreal,RRRGGRR
0,Ahri,Fiddlesticks,RRRGGRR
0,Ahri,Fiora,GRRGRRR
0,Ahri,Fizz,RGRGRRG
0,Ahri,Galio,RORGRRR
0,Ahri,Gangplank,RRRGRRR
0,Ahri,Garen,RRRRRRR
0,Ahri,Gnar,RRRRORR
0,Ahri,Gragas,RRRGRRR
0,Ahri,Graves,RRRGGRG
0,Ahri,Gwen,GRRGRRR
0,Ahri,Hecarim,RRRGRRR
0,Ahri,Heimerdinger,RORGGRR
0,Ahri,Illaoi,GRRGRRR
0,Ahri,Irelia,GORGRRR
0,Ahri,Ivern,RRRGGRR
0,Ahri,Janna,GRRGGOR
0,Ahri,Jarvan IV,RRRGRRG
0,Ahri,Jax,RRRGROR
0,Ahri,Jayce,RORGORR
0,Ahri,Jhin,RRRGGRR
0,Ahri,Jinx,GRRGGRR
0,Ahri,K'Sante,RRRGRGR
0,Ahri,Kai'Sa,GRRGGOR
0,Ahri,Kalista,GRRGGRR
0,Ahri,Karma,GRRGGRG
0,Ahri,Karthus,RRRGGRR
0,Ahri,Kassadin,RGRGROR
0,Ahri,Katarina,GGRRRRR
0,Ahri,Kayle,GRRGORR
0,Ahri,Kayn,RRRGROR
0,Ahri,Kennen,RRRRGRR
0,Ahri,Kha'Zix,RRRGRRR
0,Ahri,Kindred,RRRGGRR
0,Ahri,Kled,RRRRRRR
0,Ahri,Kog'Maw,RRRGGRR
0,Ahri,LeBlanc,GGRGGRR
0,Ahri,Lee Sin,RRRRRRG
0,Ahri,Leona,GRRGRRG
0,Ahri,Lillia,GRRGRRR
0,Ahri,Lissandra,GGRGGRR
0,Ahri,Lucian,RRRGGRR
0,Ahri,Lulu,GRRGGRR
0,Ahri,Lux,GORGGRR
0,Ahri,Malphite,RRRGROR
0,Ahri,Malzahar,RGRGGOR
0,Ahri,Maokai,RRRGRRG
0,Ahri,Master Yi,RRRGRRR
0,Ahri,Millio,RRRGGRR
0,Ahri,Miss Fortune,GRRGGRR
0,Ahri,Mordekaiser,RRRRRRR
0,Ahri,Morgana,GRRGGRR
0,Ahri,Naafiri,GGRGRGR
0,Ahri,Nami,GRGGGOR
0,Ahri,Nasus,RRRGRGR
0,Ahri,Nautilus,RRRGRRR
0,Ahri,Neeko,GOGGGRR
0,Ahri,Nidalee,GRRGGRR
0,Ahri,Nilah,GRRGRRR
0,Ahri,Nocturne,RRRGRRG
0,Ahri,Nunu & Willump,RRRGRRR
0,Ahri,Olaf,RRRGRRR
0,Ahri,Orianna,GGRGGRG
0,Ahri,Ornn,RRRGRRR
0,Ahri,Pantheon,RORGRRR
0,Ahri,Poppy,GRRGRRR
0,Ahri,Pyke,RRRGRRR
0,Ahri,Qiyana,GGRGRRR
0,Ahri,Quinn,GRRGGRR
0,Ahri,Rakan,RRGGRRR
0,Ahri,Rammus,RRRGRGR
0,Ahri,Rek'Sai,GRRGROR
0,Ahri,Rell,GRRGRRR
0,Ahri,Renata Glasc,GRRGGRR
0,Ahri,Renekton,RRRRRGG
0,Ahri,Rengar,RRGRROR
0,Ahri,Riven,GRRRRRG
0,Ahri,Rumble,RORRRRG
0,Ahri,Ryze,RORGGRR
0,Ahri,Samira,GRRGGOR
0,Ahri,Searphine,GRRGGRR
0,Ahri,Sejuani,GRRGRRR
0,Ahri,Senna,GRRGGRR
0,Ahri,Sett,RRORRRR
0,Ahri,Shaco,RRRGRRR
0,Ahri,Shen,RRRRRRR
0,Ahri,Shyvana,GRRRRRG
0,Ahri,Singed,RRRGRRR
0,Ahri,Sion,RRRGRRR
0,Ahri,Sivir,GRRGGGR
0,Ahri,Skarner,RRRGRGG
0,Ahri,Sona,GRRGGRR
0,Ahri,Soraka,GRRGGRR
0,Ahri,Swain,RORGGRR
0,Ahri,Sylas,RRRGRRR
0,Ahri,Syndra,GGRGGRR
0,Ahri,Tahm Kench,RRRGRRR
0,Ahri,Taliyah,GORGGGR
0,Ahri,Talon,RORGRRG
0,Ahri,Taric,RRRGRRR
0,Ahri,Teemo,RRRGGRR
0,Ahri,Thresh,RRRGGRR
0,Ahri,Tristana,GRRGGRR
0,Ahri,Trundle,RRRGRRR
0,Ahri,Tryndamere,RRRRRRR
0,Ahri,Twisted Fate,RGRGGRR
0,Ahri,Twitch,RRRGGRR
0,Ahri,Udyr,RRRGRRR
0,Ahri,Urgot,RRRGGRR
0,Ahri,Varus,RORGGOR
0,Ahri,Vayne,GRRGGRG
0,Ahri,Veigar,RGRGGRR
0,Ahri,Vel'Koz,RORGGRR
0,Ahri,Vex,GGRGGRR
0,Ahri,Vi,GRRGRRR
0,Ahri,Viego,RRRRRRR
0,Ahri,Viktor,RGRGGRG
0,Ahri,Vladimir,RGRRGRR
0,Ahri,Volibear,RRRGRRG
0,Ahri,Warwick,RRRGRRR
0,Ahri,Wukong,RRGGRRG
0,Ahri,Xayah,GRGGGRR
0,Ahri,Xerath,RORGGGG
0,Ahri,Xin Zhao,RRRGRRR
0,Ahri,Yasuo,RGRRRRR
0,Ahri,Yone,RORRRRR
0,Ahri,Yorick,RRRGRRG
0,Ahri,Yuumi,GRRGGRR
0,Ahri,Zac,RRRRRRR
0,Ahri,Zed,RGRRRRR
0,Ahri,Zeri,GRRGGRR
0,Ahri,Ziggs,RORGGRR
0,Ahri,Zilean,RRRGGOR
0,Ahri,Zoe,GGRGGRR
0,Ahri,Zyra,GRRGGRR
0,Akali,Aatrox,RORRGRR
0,Akali,Ahri,GORRRRR
0,Akali,Akali,GGGGGGG
0,Akali,Akshan,RGGRRRG
0,Akali,Alistar,RRRRGRR
0,Akali,Amumu,RRRRGRR
0,Akali,Anivia,GORRRRR
0,Akali,Annie,GOORRRR
0,Akali,Aphelios,RRORRRR
0,Akali,Ashe,GRORRRR
0,Akali,Aurelion Sol,RORRRRR
0,Akali,Azir,RORRRRR
0,Akali,Bard,RRRRRRR
0,Akali,Bel'Veth,GRRRGRR
0,Akali,Blitzcrank,RRRRGRR
0,Akali,Brand,RRORRRR
0,Akali,Braum,RRORGRR
0,Akali,Briar,GRRRGRR
0,Akali,Caitlyn,GRGRRRR
0,Akali,Camille,GOORGRR
0,Akali,Cassiopeia,GOORRRR
0,Akali,Cho'Gath,RORRGRR
0,Akali,Corki,RORRRRR
0,Akali,Darius,ROGRGRR
0,Akali,Diana,GOORGRR
0,Akali,Dr. Mundo,ROORGRR
0,Akali,Draven,RRGRRRR
0,Akali,Ekko,ROGRGRR
0,Akali,Elise,GRORORR
0,Akali,Evelynn,GRRRGRR
0,Akali,Ezreal,RRORRRR
0,Akali,Fiddlesticks,RRRRRRR
0,Akali,Fiora,GOGRGRR
0,Akali,Fizz,RORRGRR
0,Akali,Galio,RORRGRR
0,Akali,Gangplank,ROGRGRR
0,Akali,Garen,ROGRGRR
0,Akali,Gnar,RORRORR
0,Akali,Gragas,ROGRGRR
0,Akali,Graves,RRGRRRR
0,Akali,Gwen,GOORGRG
0,Akali,Hecarim,RRRRGRR
0,Akali,Heimerdinger,RORRRRR
0,Akali,Illaoi,GOORGRR
0,Akali,Irelia,GGORGGR
0,Akali,Ivern,RRORROR
0,Akali,Janna,GRRRRRR
0,Akali,Jarvan IV,RRGRGRR
0,Akali,Jax,RORRGRR
0,Akali,Jayce,RGGRORR
0,Akali,Jhin,RRORRGR
0,Akali,Jinx,GRORRRR
0,Akali,K'Sante,ROGRGRR
0,Akali,Kai'Sa,GRORRRR
0,Akali,Kalista,GRRRRRR
0,Akali,Karma,GRORRGR
0,Akali,Karthus,RRRRRRR
0,Akali,Kassadin,ROORGRR
0,Akali,Katarina,GOGRGRR
0,Akali,Kayle,GOORORR
0,Akali,Kayn,RRORGOR
0,Akali,Kennen,RORGRRR
0,Akali,Kha'Zix,RRRRGRR
0,Akali,Kindred,RRRRRRR
0,Akali,Kled,RORRGRR
0,Akali,Kog'Maw,RRRRRRR
0,Akali,LeBlanc,GOORRRR
0,Akali,Lee Sin,RROGGGR
0,Akali,Leona,GRORGRR
0,Akali,Lillia,GRRRGGR
0,Akali,Lissandra,GOORRRR
0,Akali,Lucian,RRGRRRR
0,Akali,Lulu,GRRRRRR
0,Akali,Lux,GOORRRR
0,Akali,Malphite,RORRGRR
0,Akali,Malzahar,ROORRRR
0,Akali,Maokai,RRRRGRR
0,Akali,Master Yi,RRORGGR
0,Akali,Millio,RRORRRR
0,Akali,Miss Fortune,GRGRRRR
0,Akali,Mordekaiser,RORRGRR
0,Akali,Morgana,GRORRRR
0,Akali,Naafiri,GORRGRR
0,Akali,Nami,GRRRRRR
0,Akali,Nasus,RORRGRR
0,Akali,Nautilus,RRRRGRR
0,Akali,Neeko,GORRRRR
0,Akali,Nidalee,GRORRRR
0,Akali,Nilah,GRORGRR
0,Akali,Nocturne,RRRRGRR
0,Akali,Nunu & Willump,RRORGRR
0,Akali,Olaf,ROORGRR
0,Akali,Orianna,GORRRRR
0,Akali,Ornn,RORRGRR
0,Akali,Pantheon,ROORGRR
0,Akali,Poppy,GORRGRR
0,Akali,Pyke,RRRRGRR
0,Akali,Qiyana,GOORGRR
0,Akali,Quinn,GOGRRRR
0,Akali,Rakan,RRRRGGR
0,Akali,Rammus,RRRRGRR
0,Akali,Rek'Sai,GRRRGRR
0,Akali,Rell,GRORGRR
0,Akali,Renata Glasc,GRORRRR
0,Akali,Renekton,RORRGRR
0,Akali,Rengar,RORRGRR
0,Akali,Riven,GOGRGOR
0,Akali,Rumble,RGRRGRR
0,Akali,Ryze,RGORRRR
0,Akali,Samira,GRGRRRR
0,Akali,Searphine,GRORRRR
0,Akali,Sejuani,GRORGRR
0,Akali,Senna,GRORRRR
0,Akali,Sett,ROORGGR
0,Akali,Shaco,RRRRGRR
0,Akali,Shen,ROOGGGR
0,Akali,Shyvana,GRRRGRR
0,Akali,Singed,ROORGRR
0,Akali,Sion,RORRGRR
0,Akali,Sivir,GRGRRRR
0,Akali,Skarner,RRRRGRR
0,Akali,Sona,GRORROR
0,Akali,Soraka,GRRRROR
0,Akali,Swain,ROORRRR
0,Akali,Sylas,ROORGRR
0,Akali,Syndra,GOORRGR
0,Akali,Tahm Kench,RORRGRR
0,Akali,Taliyah,GOORRRR
0,Akali,Talon,ROGRGRR
0,Akali,Taric,RRORGRR
0,Akali,Teemo,RORRRRR
0,Akali,Thresh,RRRRRRR
0,Akali,Tristana,GRRRRRR
0,Akali,Trundle,RORRGRR
0,Akali,Tryndamere,ROORGRR
0,Akali,Twisted Fate,ROORRRR
0,Akali,Twitch,RRRRRRR
0,Akali,Udyr,ROORGOR
0,Akali,Urgot,ROORRRR
0,Akali,Varus,ROORROR
0,Akali,Vayne,GOGRRRR
0,Akali,Veigar,RORRRRR
0,Akali,Vel'Koz,RORRRRR
0,Akali,Vex,GORRRRG
0,Akali,Vi,GRGRGRR
0,Akali,Viego,RRRRGRG
0,Akali,Viktor,ROORRRR
0,Akali,Vladimir,ROORRRR
0,Akali,Volibear,RORRGRR
0,Akali,Warwick,ROORGRR
0,Akali,Wukong,RORRGGR
0,Akali,Xayah,GRRRRGR
0,Akali,Xerath,RORRRRR
0,Akali,Xin Zhao,RRGRGOR
0,Akali,Yasuo,ROORGGR
0,Akali,Yone,RGORGRR
0,Akali,Yorick,ROORGRR
0,Akali,Yuumi,GRRRRRR
0,Akali,Zac,RRRRGRR
0,Akali,Zed,ROOGGGR
0,Akali,Zeri,GRORRRR
0,Akali,Ziggs,RORRRRR
0,Akali,Zilean,RRORRRR
0,Akali,Zoe,GOORRRR
0,Akali,Zyra,GRRRRRR
0,Akshan,Aatrox,GORRROR
0,Akshan,Ahri,RORGGGR
0,Akshan,Akali,RGGRRRG
0,Akshan,Akshan,GGGGGGG
0,Akshan,Alistar,GRRGRRR
0,Akshan,Amumu,GRRGRGR
0,Akshan,Anivia,RORGGRR
0,Akshan,Annie,ROOGGRR
0,Akshan,Aphelios,GROGGRR
0,Akshan,Ashe,RROGGRR
0,Akshan,Aurelion Sol,GORGGRR
0,Akshan,Azir,GORGGGR
0,Akshan,Bard,GRRGGRR
0,Akshan,Bel'Veth,RRRRRRR
0,Akshan,Blitzcrank,RRRGRRR
0,Akshan,Brand,GROGGRR
0,Akshan,Braum,GROGRRR
0,Akshan,Briar,RRRRRRR
0,Akshan,Caitlyn,RRGGGRR
0,Akshan,Camille,ROOGRRR
0,Akshan,Cassiopeia,ROOGGOR
0,Akshan,Cho'Gath,GORGRRR
0,Akshan,Corki,GORGGRR
0,Akshan,Darius,GOGGRRR
0,Akshan,Diana,ROOGRRR
0,Akshan,Dr. Mundo,GOORRRR
0,Akshan,Draven,GRGGGRR
0,Akshan,Ekko,GOGGRRR
0,Akshan,Elise,RROGORR
0,Akshan,Evelynn,RRRGRRR
0,Akshan,Ezreal,GROGGRR
0,Akshan,Fiddlesticks,RRRGGRR
0,Akshan,Fiora,ROGGRRR
0,Akshan,Fizz,GORGRRR
0,Akshan,Galio,GORGRRR
0,Akshan,Gangplank,GOGGRRR
0,Akshan,Garen,GOGRRRR
0,Akshan,Gnar,GORRORR
0,Akshan,Gragas,GOGGRRR
0,Akshan,Graves,GRGGGRR
0,Akshan,Gwen,ROOGRRG
0,Akshan,Hecarim,GRRGRRR
0,Akshan,Heimerdinger,GORGGRR
0,Akshan,Illaoi,ROOGRRR
0,Akshan,Irelia,RGOGRRR
0,Akshan,Ivern,GROGGRR
0,Akshan,Janna,RRRGGOR
0,Akshan,Jarvan IV,GRGGRRR
0,Akshan,Jax,GORGROR
0,Akshan,Jayce,GGGGORR
0,Akshan,Jhin,GROGGRR
0,Akshan,Jinx,RROGGRR
0,Akshan,K'Sante,GOGGRGR
0,Akshan,Kai'Sa,RROGGOR
0,Akshan,Kalista,RRRGGRR
0,Akshan,Karma,RROGGRR
0,Akshan,Karthus,GRRGGRR
0,Akshan,Kassadin,GOOGROR
0,Akshan,Katarina,ROGRRRR
0,Akshan,Kayle,ROOGORR
0,Akshan,Kayn,GROGROR
0,Akshan,Kennen,GORRGRR
0,Akshan,Kha'Zix,GRRGRRR
0,Akshan,Kindred,RRRGGRR
0,Akshan,Kled,GORRRRR
0,Akshan,Kog'Maw,GRRGGRR
0,Akshan,LeBlanc,ROOGGRR
0,Akshan,Lee Sin,GRORRRR
0,Akshan,Leona,RROGRRR
0,Akshan,Lillia,RRRGRRR
0,Akshan,Lissandra,ROOGGRR
0,Akshan,Lucian,GRGGGRR
0,Akshan,Lulu,RRRGGRR
0,Akshan,Lux,ROOGGRR
0,Akshan,Malphite,GORGROR
0,Akshan,Malzahar,GOOGGOR
0,Akshan,Maokai,GRRGRRR
0,Akshan,Master Yi,GROGRRR
0,Akshan,Millio,GROGGRR
0,Akshan,Miss Fortune,RRGGGRR
0,Akshan,Mordekaiser,GORRRRR
0,Akshan,Morgana,RROGGRR
0,Akshan,Naafiri,RORGRGR
0,Akshan,Nami,RRRGGOR
0,Akshan,Nasus,GORGRGR
0,Akshan,Nautilus,GRRGRRR
0,Akshan,Neeko,RORGGRR
0,Akshan,Nidalee,RROGGRR
0,Akshan,Nilah,RROGRRR
0,Akshan,Nocturne,GRRGRRR
0,Akshan,Nunu & Willump,GROGRRR
0,Akshan,Olaf,GOOGRRR
0,Akshan,Orianna,RORGGRR
0,Akshan,Ornn,GORGRRR
0,Akshan,Pantheon,GOOGRRR
0,Akshan,Poppy,RORGRRR
0,Akshan,Pyke,GRRGRRR
0,Akshan,Qiyana,ROOGRRR
0,Akshan,Quinn,ROGGGRR
0,Akshan,Rakan,GRRGRRR
0,Akshan,Rammus,GRRGRGR
0,Akshan,Rek'Sai,RRRGROR
0,Akshan,Rell,RROGRRR
0,Akshan,Renata Glasc,RROGGRR
0,Akshan,Renekton,GORRRGR
0,Akshan,Rengar,GORRROR
0,Akshan,Riven,ROGRRRR
0,Akshan,Rumble,GGRRRRR
0,Akshan,Ryze,GGOGGRR
0,Akshan,Samira,RRGGGOR
0,Akshan,Searphine,RROGGRR
0,Akshan,Sejuani,RROGRRR
0,Akshan,Senna,RROGGRR
0,Akshan,Sett,GOORRRR
0,Akshan,Shaco,GRRGRRR
0,Akshan,Shen,GOORRRR
0,Akshan,Shyvana,RRRRRRR
0,Akshan,Singed,GOOGRRR
0,Akshan,Sion,GORGRRR
0,Akshan,Sivir,RRGGGGR
0,Akshan,Skarner,GRRGRGR
0,Akshan,Sona,RROGGRR
0,Akshan,Soraka,RRRGGRR
0,Akshan,Swain,GOOGGRR
0,Akshan,Sylas,GOOGRRR
0,Akshan,Syndra,ROOGGRR
0,Akshan,Tahm Kench,GORGRRR
0,Akshan,Taliyah,ROOGGGR
0,Akshan,Talon,GOGGRRR
0,Akshan,Taric,GROGRRR
0,Akshan,Teemo,GORGGRR
0,Akshan,Thresh,GRRGGRR
0,Akshan,Tristana,RRRGGRR
0,Akshan,Trundle,GORGRRR
0,Akshan,Tryndamere,GOORRRR
0,Akshan,Twisted Fate,GOOGGRR
0,Akshan,Twitch,GRRGGRR
0,Akshan,Udyr,GOOGRRR
0,Akshan,Urgot,GOOGGRR
0,Akshan,Varus,GOOGGOR
0,Akshan,Vayne,ROGGGRR
0,Akshan,Veigar,GORGGRR
0,Akshan,Vel'Koz,GORGGRR
0,Akshan,Vex,RORGGRG
0,Akshan,Vi,RRGGRRR
0,Akshan,Viego,GRRRRRG
0,Akshan,Viktor,GOOGGRR
0,Akshan,Vladimir,GOORGRR
0,Akshan,Volibear,GORGRRR
0,Akshan,Warwick,GOOGRRR
0,Akshan,Wukong,GORGRRR
0,Akshan,Xayah,RRRGGRR
0,Akshan,Xerath,GORGGGR
0,Akshan,Xin Zhao,GRGGRRR
0,Akshan,Yasuo,GOORRRR
0,Akshan,Yone,GGORRRR
0,Akshan,Yorick,GOOGRRR
0,Akshan,Yuumi,RRRGGRR
0,Akshan,Zac,GRRRRRR
0,Akshan,Zed,GOORRRR
0,Akshan,Zeri,RROGGRR
0,Akshan,Ziggs,GORGGRR
0,Akshan,Zilean,GROGGOR
0,Akshan,Zoe,ROOGGRR
0,Akshan,Zyra,RRRGGRR
0,Alistar,Aatrox,GRRRGOR
0,Alistar,Ahri,RRRGRRR
0,Alistar,Akali,RRRRGRR
0,Alistar,Akshan,GRRGRRR
0,Alistar,Alistar,GGGGGGG
0,Alistar,Amumu,GORGGRG
0,Alistar,Anivia,RRRGRRG
0,Alistar,Annie,RORGROG
0,Alistar,Aphelios,GRRGRRR
0,Alistar,Ashe,RORGRRG
0,Alistar,Aurelion Sol,GRRGROR
0,Alistar,Azir,GRRGRRR
0,Alistar,Bard,GGRGRGR
0,Alistar,Bel'Veth,RRRRGRR
0,Alistar,Blitzcrank,RGRGGRG
0,Alistar,Brand,GGRGROR
0,Alistar,Braum,GGRGGRR
0,Alistar,Briar,RRRRGRR
0,Alistar,Caitlyn,RRRGRRR
0,Alistar,Camille,RRRGGRR
0,Alistar,Cassiopeia,RRRGRRR
0,Alistar,Cho'Gath,GRRGGRG
0,Alistar,Corki,GRRGRRG
0,Alistar,Darius,GRRGGRR
0,Alistar,Diana,RRRGGRR
0,Alistar,Dr. Mundo,GRRRGRG
0,Alistar,Draven,GRRGRRR
0,Alistar,Ekko,GRRGGRR
0,Alistar,Elise,RRRGORR
0,Alistar,Evelynn,RRRGGGG
0,Alistar,Ezreal,GRRGRRR
0,Alistar,Fiddlesticks,RRRGRGG
0,Alistar,Fiora,RRRGGRR
0,Alistar,Fizz,GRRGGRR
0,Alistar,Galio,GORGGRR
0,Alistar,Gangplank,GRRGGRG
0,Alistar,Garen,GRRRGRR
0,Alistar,Gnar,GRRRORR
0,Alistar,Gragas,GRRGGRR
