,Guessed_Champion,Actual_Champion,Comparison
114,Aatrox,Shen,GGRRGRR
115,Aatrox,Shyvana,RRRRGRR
116,Aatrox,Singed,GGRRGRR
117,Aatrox,Sion,GGRRGRR
118,Aatrox,Sivir,RRRRROR
119,Aatrox,Skarner,GRRRGOR
120,Aatrox,Sona,RRRRRRR
121,Aatrox,Soraka,RRRRRRR
122,Aatrox,Swain,GRRRRRR
123,Aatrox,Sylas,GGRRGRR
124,Aatrox,Syndra,RRRRRRR
125,Aatrox,Tahm Kench,GORRGOR
126,Aatrox,Taliyah,RRRRROR
127,Aatrox,Talon,GRRRGRR
128,Aatrox,Taric,GRRRGRR
129,Aatrox,Teemo,GGRRRRR
130,Aatrox,Thresh,GRRRRRG
131,Aatrox,Tristana,RRRRRRR
132,Aatrox,Trundle,GORRGRR
133,Aatrox,Tryndamere,GGRRGRR
134,Aatrox,Twisted Fate,GRRRRRR
135,Aatrox,Twitch,GRRRRRR
136,Aatrox,Udyr,GORRGRR
137,Aatrox,Urgot,GGRRRRR
138,Aatrox,Varus,GRORROR
139,Aatrox,Vayne,RORRRRR
140,Aatrox,Veigar,GRRRROR
141,Aatrox,Vel'Koz,GRRRRRR
142,Aatrox,Vex,RRRRRRR
143,Aatrox,Vi,RRRRGRR
144,Aatrox,Viego,GRRGGRR
145,Aatrox,Viktor,GRRRRRR
146,Aatrox,Vladimir,GRRRRRR
147,Aatrox,Volibear,GORRGRR
148,Aatrox,Warwick,GORRGRR
149,Aatrox,Wukong,GORRGRR
150,Aatrox,Xayah,RRRRRRR
151,Aatrox,Xerath,GRRRROR
152,Aatrox,Xin Zhao,GRRRGRR
153,Aatrox,Yasuo,GRRRGRG
154,Aatrox,Yone,GORGGRR
155,Aatrox,Yorick,GGRRGRR
156,Aatrox,Yuumi,RRRRRRR
157,Aatrox,Zac,GRRRGRG
158,Aatrox,Zed,GRRRGRR
159,Aatrox,Zeri,RRRRRRR
160,Aatrox,Ziggs,GRRRRRR
161,Aatrox,Zilean,GRRRROR
162,Aatrox,Zoe,RRRRRRR
163,Aatrox,Zyra,RRRRRRR
164,Ahri,Aatrox,RRRRROR
165,Ahri,Ahri,GGGGGGG
166,Ahri,Akali,GORRRRR
167,Ahri,Akshan,RORGGGR
168,Ahri,Alistar,RRRGRRR
169,Ahri,Amumu,RRRGRGR
170,Ahri,Anivia,GGRGGRR
171,Ahri,Annie,GORGGRR
172,Ahri,Aphelios,RRRGGRR
173,Ahri,Ashe,GRRGGRR
174,Ahri,Aurelion Sol,RGRGGRR
175,Ahri,Azir,RGRGGGR
176,Ahri,Bard,RRRGGRR
177,Ahri,Bel'Veth,GRRRRRR
178,Ahri,Blitzcrank,RRRGRRR
179,Ahri,Brand,RRRGGRG
180,Ahri,Braum,RRRGRRR
181,Ahri,Caitlyn,GRRGGRG
182,Ahri,Camille,GRRGRRR
183,Ahri,Cassiopeia,GGRGROR
184,Ahri,Cho'Gath,RRRGRRR
185,Ahri,Corki,RGRGGRR
186,Ahri,Darius,RRRGRRR
187,Ahri,Diana,GORGRRR
188,Ahri,Dr. Mundo,RRRRRRR
189,Ahri,Draven,RRRGGRR
190,Ahri,Ekko,RORGRRR
191,Ahri,Elise,GRRGORR
192,Ahri,Evelynn,GRRGRRR
193,Ahri,Ezreal,RRRGGRR
194,Ahri,Fiddlesticks,RRRGGRR
195,Ahri,Fiora,GRRGRRR
196,Ahri,Fizz,RGRGRRG
197,Ahri,Galio,RORGRRR
198,Ahri,Gangplank,RRRGRRR
199,Ahri,Garen,RRRRRRR
200,Ahri,Gnar,RRRRORR
201,Ahri,Gragas,RRRGRRR
202,Ahri,Graves,RRRGGRG
203,Ahri,Gwen,GRRGRRR
204,Ahri,Hecarim,RRRGRRR
205,Ahri,Heimerdinger,RORGGRR
206,Ahri,Illaoi,GRRGRRR
207,Ahri,Irelia,GORGRRR
208,Ahri,Ivern,RRRGGRR
209,Ahri,Janna,GRRGGOR
210,Ahri,Jarvan IV,RRRGRRG
211,Ahri,Jax,RRRGROR
212,Ahri,Jayce,RORGORR
213,Ahri,Jhin,RRRGGRR
214,Ahri,Jinx,GRRGGRR
215,Ahri,K'Sante,RRRGRGR
216,Ahri,Kai'Sa,GRRGGOR
217,Ahri,Kalista,GRRGGRR
218,Ahri,Karma,GRRGGRG
219,Ahri,Karthus,RRRGGRR
220,Ahri,Kassadin,RGRGROR
221,Ahri,Katarina,GGRRRRR
222,Ahri,Kayle,GRRGORR
223,Ahri,Kayn,RRRGROR
224,Ahri,Kennen,RRRRGRR
225,Ahri,Kha'Zix,RRRGRRR
226,Ahri,Kindred,RRRGGRR
227,Ahri,Kled,RRRRRRR
228,Ahri,Kog'Maw,RRRGGRR
229,Ahri,LeBlanc,GGRGGRR
230,Ahri,Lee Sin,RRRRRRG
231,Ahri,Leona,GRRGRRG
232,Ahri,Lillia,GRRGRRR
233,Ahri,Lissandra,GGRGGRR
234,Ahri,Lucian,RRRGGRR
235,Ahri,Lulu,GRRGGRR
236,Ahri,Lux,GORGGRR
237,Ahri,Malphite,RRRGROR
238,Ahri,Malzahar,RGRGGOR
239,Ahri,Maokai,RRRGRRG
240,Ahri,Master Yi,RRRGRRR
241,Ahri,Millio,RRRGGRR
242,Ahri,Miss Fortune,GRRGGRR
243,Ahri,Mordekaiser,RRRRRRR
244,Ahri,Morgana,GRRGGRR
245,Ahri,Naafiri,GGRGRGR
246,Ahri,Nami,GRGGGOR
247,Ahri,Nasus,RRRGRGR
248,Ahri,Nautilus,RRRGRRR
249,Ahri,Neeko,GOGGGRR
250,Ahri,Nidalee,GRRGGRR
251,Ahri,Nilah,GRRGRRR
252,Ahri,Nocturne,RRRGRRG
253,Ahri,Nunu & Willump,RRRGRRR
254,Ahri,Olaf,RRRGRRR
255,Ahri,Orianna,GGRGGRG
256,Ahri,Ornn,RRRGRRR
257,Ahri,Pantheon,RORGRRR
258,Ahri,Poppy,GRRGRRR
259,Ahri,Pyke,RRRGRRR
260,Ahri,Qiyana,GGRGRRR
261,Ahri,Quinn,GRRGGRR
262,Ahri,Rakan,RRGGRRR
263,Ahri,Rammus,RRRGRGR
264,Ahri,Rek'Sai,GRRGROR
265,Ahri,Rell,GRRGRRR
266,Ahri,Renata Glasc,GRRGGRR
267,Ahri,Renekton,RRRRRGG
268,Ahri,Rengar,RRGRROR
269,Ahri,Riven,GRRRRRG
270,Ahri,Rumble,RORRRRG
271,Ahri,Ryze,RORGGRR
272,Ahri,Samira,GRRGGOR
273,Ahri,Searphine,GRRGGRR
274,Ahri,Sejuani,GRRGRRR
275,Ahri,Senna,GRRGGRR
276,Ahri,Sett,RRORRRR
277,Ahri,Shaco,RRRGRRR
278,Ahri,Shen,RRRRRRR
279,Ahri,Shyvana,GRRRRRG
280,Ahri,Singed,RRRGRRR
281,Ahri,Sion,RRRGRRR
282,Ahri,Sivir,GRRGGGR
283,Ahri,Skarner,RRRGRGG
284,Ahri,Sona,GRRGGRR
285,Ahri,Soraka,GRRGGRR
286,Ahri,Swain,RORGGRR
287,Ahri,Sylas,RRRGRRR
288,Ahri,Syndra,GGRGGRR
289,Ahri,Tahm Kench,RRRGRRR
290,Ahri,Taliyah,GORGGGR
291,Ahri,Talon,RORGRRG
292,Ahri,Taric,RRRGRRR
293,Ahri,Teemo,RRRGGRR
294,Ahri,Thresh,RRRGGRR
295,Ahri,Tristana,GRRGGRR
296,Ahri,Trundle,RRRGRRR
297,Ahri,Tryndamere,RRRRRRR
298,Ahri,Twisted Fate,RGRGGRR
299,Ahri,Twitch,RRRGGRR
300,Ahri,Udyr,RRRGRRR
301,Ahri,Urgot,RRRGGRR
302,Ahri,Varus,RORGGOR
303,Ahri,Vayne,GRRGGRG
304,Ahri,Veigar,RGRGGRR
305,Ahri,Vel'Koz,RORGGRR
306,Ahri,Vex,GGRGGRR
307,Ahri,Vi,GRRGRRR
308,Ahri,Viego,RRRRRRR
309,Ahri,Viktor,RGRGGRG
310,Ahri,Vladimir,RGRRGRR
311,Ahri,Volibear,RRRGRRG
312,Ahri,Warwick,RRRGRRR
313,Ahri,Wukong,RRGGRRG
314,Ahri,Xayah,GRGGGRR
315,Ahri,Xerath,RORGGGG
316,Ahri,Xin Zhao,RRRGRRR
317,Ahri,Yasuo,RGRRRRR
318,Ahri,Yone,RORRRRR
319,Ahri,Yorick,RRRGRRG
320,Ahri,Yuumi,GRRGGRR
321,Ahri,Zac,RRRRRRR
322,Ahri,Zed,RGRRRRR
323,Ahri,Zeri,GRRGGRR
324,Ahri,Ziggs,RORGGRR
325,Ahri,Zilean,RRRGGOR
326,Ahri,Zoe,GGRGGRR
327,Ahri,Zyra,GRRGGRR
328,Akali,Aatrox,RORRGRR
329,Akali,Ahri,GORRRRR
330,Akali,Akali,GGGGGGG
331,Akali,Akshan,RGGRRRG
332,Akali,Alistar,RRRRGRR
333,Akali,Amumu,RRRRGRR
334,Akali,Anivia,GORRRRR
335,Akali,Annie,GOORRRR
336,Akali,Aphelios,RRORRRR
337,Akali,Ashe,GRORRRR
338,Akali,Aurelion Sol,RORRRRR
339,Akali,Azir,RORRRRR
340,Akali,Bard,RRRRRRR
341,Akali,Bel'Veth,GRRRGRR
342,Akali,Blitzcrank,RRRRGRR
343,Akali,Brand,RRORRRR
344,Akali,Braum,RRORGRR
345,Akali,Caitlyn,GRGRRRR
346,Akali,Camille,GOORGRR
347,Akali,Cassiopeia,GOORRRR
348,Akali,Cho'Gath,RORRGRR
349,Akali,Corki,RORRRRR
350,Akali,Darius,ROGRGRR
351,Akali,Diana,GOORGRR
352,Akali,Dr. Mundo,ROORGRR
353,Akali,Draven,RRGRRRR
354,Akali,Ekko,ROGRGRR
355,Akali,Elise,GRORORR
356,Akali,Evelynn,GRRRGRR
357,Akali,Ezreal,RRORRRR
358,Akali,Fiddlesticks,RRRRRRR
359,Akali,Fiora,GOGRGRR
360,Akali,Fizz,RORRGRR
361,Akali,Galio,RORRGRR
362,Akali,Gangplank,ROGRGRR
363,Akali,Garen,ROGRGRR
364,Akali,Gnar,RORRORR
365,Akali,Gragas,ROGRGRR
366,Akali,Graves,RRGRRRR
367,Akali,Gwen,GOORGRG
368,Akali,Hecarim,RRRRGRR
369,Akali,Heimerdinger,RORRRRR
370,Akali,Illaoi,GOORGRR
371,Akali,Irelia,GGORGGR
372,Akali,Ivern,RRORROR
373,Akali,Janna,GRRRRRR
374,Akali,Jarvan IV,RRGRGRR
375,Akali,Jax,RORRGRR
376,Akali,Jayce,RGGRORR
377,Akali,Jhin,RRORRGR
378,Akali,Jinx,GRORRRR
379,Akali,K'Sante,ROGRGRR
380,Akali,Kai'Sa,GRORRRR
381,Akali,Kalista,GRRRRRR
382,Akali,Karma,GRORRGR
383,Akali,Karthus,RRRRRRR
384,Akali,Kassadin,ROORGRR
385,Akali,Katarina,GOGRGRR
386,Akali,Kayle,GOORORR
387,Akali,Kayn,RRORGOR
388,Akali,Kennen,RORGRRR
389,Akali,Kha'Zix,RRRRGRR
390,Akali,Kindred,RRRRRRR
391,Akali,Kled,RORRGRR
392,Akali,Kog'Maw,RRRRRRR
393,Akali,LeBlanc,GOORRRR
394,Akali,Lee Sin,RROGGGR
395,Akali,Leona,GRORGRR
396,Akali,Lillia,GRRRGGR
397,Akali,Lissandra,GOORRRR
398,Akali,Lucian,RRGRRRR
399,Akali,Lulu,GRRRRRR
400,Akali,Lux,GOORRRR
401,Akali,Malphite,RORRGRR
402,Akali,Malzahar,ROORRRR
403,Akali,Maokai,RRRRGRR
404,Akali,Master Yi,RRORGGR
405,Akali,Millio,RRORRRR
406,Akali,Miss Fortune,GRGRRRR
407,Akali,Mordekaiser,RORRGRR
408,Akali,Morgana,GRORRRR
409,Akali,Naafiri,GORRGRR
410,Akali,Nami,GRRRRRR
411,Akali,Nasus,RORRGRR
412,Akali,Nautilus,RRRRGRR
413,Akali,Neeko,GORRRRR
414,Akali,Nidalee,GRORRRR
415,Akali,Nilah,GRORGRR
416,Akali,Nocturne,RRRRGRR
417,Akali,Nunu & Willump,RRORGRR
418,Akali,Olaf,ROORGRR
419,Akali,Orianna,GORRRRR
420,Akali,Ornn,RORRGRR
421,Akali,Pantheon,ROORGRR
422,Akali,Poppy,GORRGRR
423,Akali,Pyke,RRRRGRR
424,Akali,Qiyana,GOORGRR
425,Akali,Quinn,GOGRRRR
426,Akali,Rakan,RRRRGGR
427,Akali,Rammus,RRRRGRR
428,Akali,Rek'Sai,GRRRGRR
429,Akali,Rell,GRORGRR
430,Akali,Renata Glasc,GRORRRR
431,Akali,Renekton,RORRGRR
432,Akali,Rengar,RORRGRR
433,Akali,Riven,GOGRGOR
434,Akali,Rumble,RGRRGRR
435,Akali,Ryze,RGORRRR
436,Akali,Samira,GRGRRRR
437,Akali,Searphine,GRORRRR
438,Akali,Sejuani,GRORGRR
439,Akali,Senna,GRORRRR
440,Akali,Sett,ROORGGR
441,Akali,Shaco,RRRRGRR
442,Akali,Shen,ROOGGGR
443,Akali,Shyvana,GRRRGRR
444,Akali,Singed,ROORGRR
445,Akali,Sion,RORRGRR
446,Akali,Sivir,GRGRRRR
447,Akali,Skarner,RRRRGRR
448,Akali,Sona,GRORROR
449,Akali,Soraka,GRRRROR
450,Akali,Swain,ROORRRR
451,Akali,Sylas,ROORGRR
452,Akali,Syndra,GOORRGR
453,Akali,Tahm Kench,RORRGRR
454,Akali,Taliyah,GOORRRR
455,Akali,Talon,ROGRGRR
456,Akali,Taric,RRORGRR
457,Akali,Teemo,RORRRRR
458,Akali,Thresh,RRRRRRR
459,Akali,Tristana,GRRRRRR
460,Akali,Trundle,RORRGRR
461,Akali,Tryndamere,ROORGRR
462,Akali,Twisted Fate,ROORRRR
463,Akali,Twitch,RRRRRRR
464,Akali,Udyr,ROORGOR
465,Akali,Urgot,ROORRRR
466,Akali,Varus,ROORROR
467,Akali,Vayne,GOGRRRR
468,Akali,Veigar,RORRRRR
469,Akali,Vel'Koz,RORRRRR
470,Akali,Vex,GORRRRG
471,Akali,Vi,GRGRGRR
472,Akali,Viego,RRRRGRG
473,Akali,Viktor,ROORRRR
474,Akali,Vladimir,ROORRRR
475,Akali,Volibear,RORRGRR
476,Akali,Warwick,ROORGRR
477,Akali,Wukong,RORRGGR
478,Akali,Xayah,GRRRRGR
479,Akali,Xerath,RORRRRR
480,Akali,Xin Zhao,RRGRGOR
481,Akali,Yasuo,ROORGGR
482,Akali,Yone,RGORGRR
483,Akali,Yorick,ROORGRR
484,Akali,Yuumi,GRRRRRR
485,Akali,Zac,RRRRGRR
486,Akali,Zed,ROOGGGR
487,Akali,Zeri,GRORRRR
488,Akali,Ziggs,RORRRRR
489,Akali,Zilean,RRORRRR
490,Akali,Zoe,GOORRRR
491,Akali,Zyra,GRRRRRR
492,Akshan,Aatrox,GORRROR
493,Akshan,Ahri,RORGGGR
494,Akshan,Akali,RGGRRRG
495,Akshan,Akshan,GGGGGGG
496,Akshan,Alistar,GRRGRRR
497,Akshan,Amumu,GRRGRGR
498,Akshan,Anivia,RORGGRR
499,Akshan,Annie,ROOGGRR
500,Akshan,Aphelios,GROGGRR
501,Akshan,Ashe,RROGGRR
502,Akshan,Aurelion Sol,GORGGRR
503,Akshan,Azir,GORGGGR
504,Akshan,Bard,GRRGGRR
505,Akshan,Bel'Veth,RRRRRRR
506,Akshan,Blitzcrank,RRRGRRR
507,Akshan,Brand,GROGGRR
508,Akshan,Braum,GROGRRR
509,Akshan,Caitlyn,RRGGGRR
510,Akshan,Camille,ROOGRRR
511,Akshan,Cassiopeia,ROOGROR
512,Akshan,Cho'Gath,GORGRRR
513,Akshan,Corki,GORGGRR
514,Akshan,Darius,GOGGRRR
515,Akshan,Diana,ROOGRRR
516,Akshan,Dr. Mundo,GOORRRR
517,Akshan,Draven,GRGGGRR
518,Akshan,Ekko,GOGGRRR
519,Akshan,Elise,RROGORR
520,Akshan,Evelynn,RRRGRRR
521,Akshan,Ezreal,GROGGRR
522,Akshan,Fiddlesticks,RRRGGRR
523,Akshan,Fiora,ROGGRRR
524,Akshan,Fizz,GORGRRR
525,Akshan,Galio,GORGRRR
526,Akshan,Gangplank,GOGGRRR
527,Akshan,Garen,GOGRRRR
528,Akshan,Gnar,GORRORR
529,Akshan,Gragas,GOGGRRR
530,Akshan,Graves,GRGGGRR
531,Akshan,Gwen,ROOGRRG
532,Akshan,Hecarim,GRRGRRR
533,Akshan,Heimerdinger,GORGGRR
534,Akshan,Illaoi,ROOGRRR
535,Akshan,Irelia,RGOGRRR
536,Akshan,Ivern,GROGGRR
537,Akshan,Janna,RRRGGOR
538,Akshan,Jarvan IV,GRGGRRR
539,Akshan,Jax,GORGROR
540,Akshan,Jayce,GGGGORR
541,Akshan,Jhin,GROGGRR
542,Akshan,Jinx,RROGGRR
543,Akshan,K'Sante,GOGGRGR
544,Akshan,Kai'Sa,RROGGOR
545,Akshan,Kalista,RRRGGRR
546,Akshan,Karma,RROGGRR
547,Akshan,Karthus,GRRGGRR
548,Akshan,Kassadin,GOOGROR
549,Akshan,Katarina,ROGRRRR
550,Akshan,Kayle,ROOGORR
551,Akshan,Kayn,GROGROR
552,Akshan,Kennen,GORRGRR
553,Akshan,Kha'Zix,GRRGRRR
554,Akshan,Kindred,RRRGGRR
555,Akshan,Kled,GORRRRR
556,Akshan,Kog'Maw,GRRGGRR
557,Akshan,LeBlanc,ROOGGRR
558,Akshan,Lee Sin,GRORRRR
559,Akshan,Leona,RROGRRR
560,Akshan,Lillia,RRRGRRR
561,Akshan,Lissandra,ROOGGRR
562,Akshan,Lucian,GRGGGRR
563,Akshan,Lulu,RRRGGRR
564,Akshan,Lux,ROOGGRR
565,Akshan,Malphite,GORGROR
566,Akshan,Malzahar,GOOGGOR
567,Akshan,Maokai,GRRGRRR
568,Akshan,Master Yi,GROGRRR
569,Akshan,Millio,GROGGRR
570,Akshan,Miss Fortune,RRGGGRR
571,Akshan,Mordekaiser,GORRRRR
572,Akshan,Morgana,RROGGRR
573,Akshan,Naafiri,RORGRGR
574,Akshan,Nami,RRRGGOR
575,Akshan,Nasus,GORGRGR
576,Akshan,Nautilus,GRRGRRR
577,Akshan,Neeko,RORGGRR
578,Akshan,Nidalee,RROGGRR
579,Akshan,Nilah,RROGRRR
580,Akshan,Nocturne,GRRGRRR
581,Akshan,Nunu & Willump,GROGRRR
582,Akshan,Olaf,GOOGRRR
583,Akshan,Orianna,RORGGRR
584,Akshan,Ornn,GORGRRR
585,Akshan,Pantheon,GOOGRRR
586,Akshan,Poppy,RORGRRR
587,Akshan,Pyke,GRRGRRR
588,Akshan,Qiyana,ROOGRRR
589,Akshan,Quinn,ROGGGRR
590,Akshan,Rakan,GRRGRRR
591,Akshan,Rammus,GRRGRGR
592,Akshan,Rek'Sai,RRRGROR
593,Akshan,Rell,RROGRRR
594,Akshan,Renata Glasc,RROGGRR
595,Akshan,Renekton,GORRRGR
596,Akshan,Rengar,GORRROR
597,Akshan,Riven,ROGRRRR
598,Akshan,Rumble,GGRRRRR
599,Akshan,Ryze,GGOGGRR
600,Akshan,Samira,RRGGGOR
601,Akshan,Searphine,RROGGRR
602,Akshan,Sejuani,RROGRRR
603,Akshan,Senna,RROGGRR
604,Akshan,Sett,GOORRRR
605,Akshan,Shaco,GRRGRRR
606,Akshan,Shen,GOORRRR
607,Akshan,Shyvana,RRRRRRR
608,Akshan,Singed,GOOGRRR
609,Akshan,Sion,GORGRRR
610,Akshan,Sivir,RRGGGGR
611,Akshan,Skarner,GRRGRGR
612,Akshan,Sona,RROGGRR
613,Akshan,Soraka,RRRGGRR
614,Akshan,Swain,GOOGGRR
615,Akshan,Sylas,GOOGRRR
616,Akshan,Syndra,ROOGGRR
617,Akshan,Tahm Kench,GORGRRR
618,Akshan,Taliyah,ROOGGGR
619,Akshan,Talon,GOGGRRR
620,Akshan,Taric,GROGRRR
621,Akshan,Teemo,GORGGRR
622,Akshan,Thresh,GRRGGRR
623,Akshan,Tristana,RRRGGRR
624,Akshan,Trundle,GORGRRR
625,Akshan,Tryndamere,GOORRRR
626,Akshan,Twisted Fate,GOOGGRR
627,Akshan,Twitch,GRRGGRR
628,Akshan,Udyr,GOOGRRR
629,Akshan,Urgot,GOOGGRR
630,Akshan,Varus,GOOGGOR
631,Akshan,Vayne,ROGGGRR
632,Akshan,Veigar,GORGGRR
633,Akshan,Vel'Koz,GORGGRR
634,Akshan,Vex,RORGGRG
635,Akshan,Vi,RRGGRRR
636,Akshan,Viego,GRRRRRG
637,Akshan,Viktor,GOOGGRR
638,Akshan,Vladimir,GOORGRR
639,Akshan,Volibear,GORGRRR
640,Akshan,Warwick,GOOGRRR
641,Akshan,Wukong,GORGRRR
642,Akshan,Xayah,RRRGGRR
643,Akshan,Xerath,GORGGGR
644,Akshan,Xin Zhao,GRGGRRR
645,Akshan,Yasuo,GOORRRR
646,Akshan,Yone,GGORRRR
647,Akshan,Yorick,GOOGRRR
648,Akshan,Yuumi,RRRGGRR
649,Akshan,Zac,GRRRRRR
650,Akshan,Zed,GOORRRR
651,Akshan,Zeri,RROGGRR
652,Akshan,Ziggs,GORGGRR
653,Akshan,Zilean,GROGGOR
654,Akshan,Zoe,ROOGGRR
655,Akshan,Zyra,RRRGGRR
656,Alistar,Aatrox,GRRRGOR
657,Alistar,Ahri,RRRGRRR
658,Alistar,Akali,RRRRGRR
659,Alistar,Akshan,GRRGRRR
660,Alistar,Alistar,GGGGGGG
661,Alistar,Amumu,GORGGRG
662,Alistar,Anivia,RRRGRRG
663,Alistar,Annie,RORGROG
664,Alistar,Aphelios,GRRGRRR
665,Alistar,Ashe,RORGRRG
666,Alistar,Aurelion Sol,GRRGROR
667,Alistar,Azir,GRRGRRR
668,Alistar,Bard,GGRGRGR
669,Alistar,Bel'Veth,RRRRGRR
670,Alistar,Blitzcrank,RGRGGRG
671,Alistar,Brand,GGRGROR
672,Alistar,Braum,GGRGGRR
673,Alistar,Caitlyn,RRRGRRR
674,Alistar,Camille,RRRGGRR
675,Alistar,Cassiopeia,RRRGRRR
676,Alistar,Cho'Gath,GRRGGRG
677,Alistar,Corki,GRRGRRG
678,Alistar,Darius,GRRGGRR
679,Alistar,Diana,RRRGGRR
680,Alistar,Dr. Mundo,GRRRGRG
681,Alistar,Draven,GRRGRRR
682,Alistar,Ekko,GRRGGRR
683,Alistar,Elise,RRRGORR
684,Alistar,Evelynn,RRRGGGG
685,Alistar,Ezreal,GRRGRRR
686,Alistar,Fiddlesticks,RRRGRGG
687,Alistar,Fiora,RRRGGRR
688,Alistar,Fizz,GRRGGRR
689,Alistar,Galio,GORGGRR
690,Alistar,Gangplank,GRRGGRG
691,Alistar,Garen,GRRRGRR
692,Alistar,Gnar,GRRRORR
693,Alistar,Gragas,GRRGGRR
694,Alistar,Graves,GRRGRRR
695,Alistar,Gwen,RRRGGRR
696,Alistar,Hecarim,GRRGGRR
697,Alistar,Heimerdinger,GORGRRG
698,Alistar,Illaoi,RRRGGRR
